total_time_screentime,total_time_answer,day_average_time_screentime,day_average_time_answer,week_average_time_screentime,week_average_time_answer,Monday_average_time_screentime,Tuesday_average_time_screentime,Wesdnesday_average_time_screentime,Thursday_average_time_screentime,Friday_average_time_screentime,Saturday_average_time_screentime,Sunday_average_time_screentime,Monday_average_time_answer,Tuesday_average_time_answer,Wesdnesday_average_time_answer,Thursday_average_time_answer,Friday_average_time_answer,Saturday_average_time_answer,Sunday_average_time_answer,Monday_total_time_screentime,Tuesday_total_time_screentime,Wesdnesday_total_time_screentime,Thursday_total_time_screentime,Friday_total_time_screentime,Saturday_total_time_screentime,Sunday_total_time_screentime,Monday_total_time_answer,Tuesday_total_time_answer,Wesdnesday_total_time_answer,Thursday_total_time_answer,Friday_total_time_answer,Saturday_total_time_answer,Sunday_total_time_answer,play_complete_percent,question_count,correct_answer_percent,question_complete_percent,rewinded_count,play_count,suspended_count,resumed_count,launched_count,terminated_count,test_result,openId,question_Id
16012,49469,592.6296296,1831.814815,761.952381,2355.190476,0,0,342.2962963,229.1111111,21.22222222,0,0,0,0,1021.962963,713.7037037,96.14814815,0,0,0,0,9242,6186,573,0,0,0,0,27593,19270,2596,0,0,55.6400507,408,76.96078431,85.09485095,2,350,55,19,3,0,81,493,2
15368,42557,415.3243243,1150.135135,548.8214286,1519.821429,2.243243243,21,93.13513514,282.3243243,12.97297297,3.081081081,0.5675675676,0.2432432432,87.18918919,234.2972973,759,58.91891892,9.351351351,1.135135135,83,777,3446,10446,480,114,21,9,3226,8669,28083,2180,346,42,47.79299848,558,69.71326165,78.81188119,1,343,89,30,23,11,74,485,10
14080,45899,293.1041667,956.0208333,502.4642857,1638.892857,57.1875,151.9166667,8,0,0.02083333333,8.395833333,67.58333333,255.625,394.5625,22.85416667,0,0.04166666667,20.52083333,262.4166667,2745,7292,384,0,1,403,3244,12270,18939,1097,0,2,985,12596,40.59139785,489,78.93660532,75.24366472,1,442,124,60,31,11,72,383,15
31796,123037,402.1898734,1557.43038,690.7173913,2674.717391,20.05063291,17.67088608,266.6329114,18.75949367,5.316455696,26.94936709,46.81012658,97.02531646,71.98734177,1041.063291,4.64556962,25.59493671,95.37974684,221.7341772,1584,1396,21064,1482,420,2129,3698,7665,5687,82244,367,2022,7535,17517,27.07710699,591,79.86463621,77.19869707,4,1220,157,23,54,79,81,477,26
11070,30039,368.7,1001,409.6666667,1112.222222,0.7,33.7,334.3,0,0,0,0,1,96.93333333,903.0666667,0,0,0,0,21,1011,10029,0,0,0,0,30,2908,27092,0,0,0,0,49.63181149,510,64.90196078,80.14527845,2,342,80,29,23,0,74,417,13
19949,61668,361.1090909,1115.545455,662.0333333,2045.166667,39.89090909,260.6545455,10.25454545,12.47272727,5.472727273,22.21818182,10.14545455,108.0727273,786.9090909,37.36363636,46.65454545,22,81.83636364,32.70909091,2194,14336,564,686,301,1222,558,5944,43280,2055,2566,1210,4501,1799,23.84219554,713,73.21178121,81.84663537,4,888,152,62,26,1,72,396,20
17515,53503,420.6097561,1282.536585,594.6551724,1813.241379,55.36585366,309.1219512,7.048780488,6.219512195,0.9268292683,0,41.92682927,179.9756098,1005.536585,16.09756098,15.34146341,1,0,64.58536585,2270,12674,289,255,38,0,1719,7379,41227,660,629,41,0,2648,36.21323529,444,78.82882883,76.57266811,0,694,99,29,25,7,78,386,14
44552,94221,638.9855072,1355.26087,1611.185185,3415.518519,271.9710145,148.115942,82.33333333,62.37681159,35.50724638,29.15942029,9.52173913,553.9855072,287.6956522,209.6231884,69.2173913,113.3478261,80.4057971,40.98550725,18766,10220,5681,4304,2450,2012,657,38225,19851,14464,4776,7821,5548,2828,21.33145804,939,72.63045793,67.48526523,5,1678,259,141,39,6,82,372,36
21855,75915,590.4594595,2051.756757,780.25,2711.25,59.94594595,11.51351351,23.27027027,0,16.86486486,61.13513514,417.7297297,237.7297297,68.13513514,4.540540541,0,65.45945946,317.8108108,1358.081081,2218,426,861,0,624,2262,15456,8796,2521,168,0,2422,11759,50249,19.65042373,535,71.58878505,86.11713666,0,1517,115,40,41,56,76,291,12
20744,73302,518.525,1832.55,715.2068966,2527.655172,9.6,0.075,0,19.575,6.225,35.9,447.15,36.375,0.1,0,76.125,23.775,136.55,1559.625,384,3,0,783,249,1436,17886,1455,4,0,3045,951,5462,62385,37.06950532,533,81.98874296,75.04273504,4,1005,79,27,20,5,79,288,14
13787,48929,212.0615385,752.7076923,393.8285714,1397.885714,80.66153846,21.21538462,13.70769231,10.29230769,32.6,16.87692308,36.70769231,262.2153846,58.10769231,57.36923077,38.83076923,165.2153846,68.63076923,102.3384615,5243,1379,891,669,2119,1097,2386,17044,3777,3729,2524,10739,4461,6652,45.86929716,416,79.32692308,89.54423592,7,439,114,29,9,0,78,284,1
13767,41463,383.8235294,1108.5,540.4166667,1567.125,37.82352941,14.64705882,0,0.1470588235,14.44117647,42.02941176,274.7352941,61.58823529,65.70588235,0,0.1764705882,58.70588235,160.2352941,762.0882353,1286,498,0,5,491,1429,9341,2094,2234,0,6,1996,5448,25911,46.73295455,449,71.0467706,63.31360947,32,375,93,38,30,18,77,282,12
23083,73422,514.7674419,1646.186047,789.6923077,2522.269231,14.41860465,24.48837209,256.255814,219.5813953,0.02325581395,0,0,72.95348837,95.88372093,920,557.255814,0.09302325581,0,0,620,1053,11019,9442,1,0,0,3137,4123,39560,23962,4,0,0,48.91719745,593,67.79089376,68.13559322,1,401,81,14,35,52,84,499,16
16404,84133,596.8846154,3117.807692,737.8095238,3855.238095,57.92307692,48.30769231,56.30769231,0,0,68.30769231,366.0384615,342.5384615,101.6923077,203.1538462,0,0,323.8461538,2146.576923,1506,1256,1464,0,0,1776,9517,8906,2644,5282,0,0,8420,55811,42.0995671,499,78.75751503,79.41176471,3,535,65,22,18,25,83,303,15
11778,21703,441.826087,843.5217391,597.7647059,1141.235294,7.782608696,98.65217391,302.826087,9.260869565,23.30434783,0,0,1.695652174,195.6086957,567.1304348,19.30434783,59.7826087,0,0,179,2269,6965,213,536,0,0,39,4499,13044,444,1375,0,0,25.91194969,362,72.09944751,76.09329446,1,589,69,43,13,0,66,157,16
14300,28789,998.2857143,2026.214286,1164.666667,2363.916667,0,180.0714286,797.2857143,18.21428571,2.714285714,0,0,0,177,1845.357143,3.357142857,0.5,0,0,0,2521,11162,255,38,0,0,0,2478,25835,47,7,0,0,43.46103038,355,69.85915493,60.74074074,0,428,47,25,11,10,67,149,14
24903,64398,541.5,1516.555556,695.1428571,1948.857143,0.1111111111,101.4444444,385.2222222,53.83333333,0.8333333333,0.05555555556,0,0.05555555556,184.8333333,1158.888889,171.9444444,0.7777777778,0.05555555556,0,2,1826,6934,969,15,1,0,1,3327,20860,3095,14,1,0,18.55670103,631,62.91600634,67.06081081,0,395,70,41,6,0,61,145,16
13630,47023,639.4,2264.9,710.4444444,2516.555556,234.15,293.45,0,0,0,111.8,0,827.55,1014,0,0,0,423.35,0,4683,5869,0,0,0,2236,0,16551,20280,0,0,0,8467,0,42.4744898,662,64.35045317,81.92307692,1,451,41,15,4,0,68,116,5
7468,23579,596.1428571,1650,596.1428571,1650,515.4285714,80.42857143,0,0,0,0.2857142857,0,1402.285714,247.4285714,0,0,0,0.2857142857,0,3608,563,0,0,0,2,0,9816,1732,0,0,0,2,0,39.9103139,218,84.86238532,86.51162791,1,268,10,2,1,0,64,105,5
8549,25296,392.9285714,760.7142857,478,888.7272727,49.5,342.8571429,0,0,0,0,0.5714285714,80.5,679.5714286,0,0,0,0,0.6428571429,693,4800,0,0,0,0,8,1127,9514,0,0,0,0,9,76.66666667,284,60.21126761,75.43859649,0,49,34,13,12,6,68,101,3
11595,31444,724.375,1965.25,744.2,1664.9,139.1875,298.4375,243.1875,0,34.9375,0,8.625,393.6875,1073.875,346.375,0,106.4375,0,44.875,2227,4775,3891,0,559,0,138,6299,17182,5542,0,1703,0,718,13.97058824,506,88.73517787,98.05194805,4,702,50,26,8,1,69,96,17
10877,35663,975.6666667,3514.166667,975.6666667,3514.166667,0,168.3333333,0,0,0,0,807.3333333,0,566.1666667,0,0,0,0,2948,0,1010,0,0,0,0,4844,0,3397,0,0,0,0,17688,54.85327314,290,63.79310345,78.96995708,8,200,21,14,1,0,64,92,3
7305,18619,332.2142857,768.1428571,465.1,1075.4,26.92857143,245.5714286,0,0,0.2142857143,0,59.5,99.64285714,565.7857143,0,0,0.2857142857,0,102.4285714,377,3438,0,0,3,0,833,1395,7921,0,0,4,0,1434,42.77929155,298,76.51006711,83.27272727,10,210,32,11,4,1,70,69,9
